Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
NN13 5RP,Yes,52.001131,-1.111158,461116,234005,SP611340,Fringford and Heyfords,Mixbury,1980-01-01,,121,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5RR,Yes,51.999486,-1.116056,460782,233818,SP607338,Fringford and Heyfords,Mixbury,1980-01-01,,123,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5RS,Yes,52.001346,-1.114620,460878,234026,SP608340,Fringford and Heyfords,Mixbury,1980-01-01,,122,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5RT,Yes,52.002602,-1.114319,460897,234166,SP608341,Fringford and Heyfords,Mixbury,1980-01-01,,119,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5RW,Yes,51.995962,-1.106334,461454,233434,SP614334,Fringford and Heyfords,Mixbury,1980-01-01,,123,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5SN,Yes,51.976441,-1.152600,458303,231225,SP583312,Fringford and Heyfords,Cottisford,1980-01-01,,120,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028484,Cherwell 011E,E01028484,Cherwell 011E
NN13 5SP,Yes,51.974828,-1.148307,458600,231049,SP585310,Fringford and Heyfords,Cottisford,1980-01-01,,117,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028484,Cherwell 011E,E01028484,Cherwell 011E
NN13 5SR,Yes,51.976533,-1.139161,459226,231246,SP592312,Fringford and Heyfords,Cottisford,1980-01-01,,117,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028484,Cherwell 011E,E01028484,Cherwell 011E
NN13 5SS,Yes,51.975067,-1.139218,459224,231083,SP592310,Fringford and Heyfords,Cottisford,1980-01-01,,115,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028484,Cherwell 011E,E01028484,Cherwell 011E
NN13 5ST,Yes,51.976891,-1.140246,459151,231285,SP591312,Fringford and Heyfords,Cottisford,1980-01-01,,117,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028484,Cherwell 011E,E01028484,Cherwell 011E
NN13 5SW,Yes,51.975240,-1.143102,458957,231099,SP589310,Fringford and Heyfords,Cottisford,1980-01-01,,116,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028484,Cherwell 011E,E01028484,Cherwell 011E
NN13 5SY,Yes,51.990403,-1.143523,458908,232785,SP589327,Fringford and Heyfords,Cottisford,1981-06-01,,133,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028484,Cherwell 011E,E01028484,Cherwell 011E
NN13 5YR,No,52.003800,-1.114659,460872,234299,SP608342,Fringford and Heyfords,Mixbury,1992-01-01,2018-03-01,116,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5YS,Yes,52.000631,-1.115276,460834,233946,SP608339,Fringford and Heyfords,Mixbury,1990-02-01,,123,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
OX15 0AA,Yes,51.984733,-1.323845,446532,232024,SP465320,Deddington,Deddington,2017-06-01,,134,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0AB,Yes,51.990855,-1.367474,443530,232678,SP435326,Deddington,Barford St. John and St. Michael,2008-02-01,,106,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0AD,Yes,51.981524,-1.324186,446512,231667,SP465316,Deddington,Deddington,2012-07-01,,132,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0AE,Yes,51.984753,-1.325811,446397,232025,SP463320,Deddington,Deddington,2018-05-01,,134,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0AF,Yes,51.984069,-1.324074,446517,231950,SP465319,Deddington,Deddington,2017-07-01,,134,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0AG,Yes,51.974059,-1.317324,446991,230841,SP469308,Deddington,Deddington,2021-08-01,,134,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0AH,Yes,51.983269,-1.331891,445981,231856,SP459318,Deddington,Deddington,2022-09-01,,138,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0AJ,Yes,51.982231,-1.311011,447416,231754,SP474317,Deddington,Deddington,2023-08-01,,122,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0LA,Yes,51.982694,-1.319568,446828,231800,SP468318,Deddington,Deddington,2001-12-01,,130,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0NA,Yes,51.983190,-1.330845,446053,231848,SP460318,Deddington,Deddington,2000-12-01,,138,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0NB,No,52.061525,-1.327429,446207,240563,SP462405,Banbury Grimsbury and Hightown,Banbury,2001-06-01,2002-01-01,93,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01032942,Cherwell 004H,E01032942,Cherwell 004H
OX15 0NX,Yes,51.983340,-1.325586,446414,231868,SP464318,Deddington,Deddington,1995-07-01,,134,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PA,Yes,51.982009,-1.290311,448838,231743,SP488317,Deddington,Deddington,1991-01-01,,99,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0PB,Yes,51.982867,-1.286541,449096,231841,SP490318,Deddington,Deddington,1991-01-01,,90,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0PD,Yes,51.982335,-1.289243,448911,231780,SP489317,Deddington,Deddington,1991-01-01,,94,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0PE,Yes,51.983058,-1.286989,449065,231862,SP490318,Deddington,Deddington,1991-01-01,,91,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0PF,Yes,51.982150,-1.286902,449072,231761,SP490317,Deddington,Deddington,1991-01-01,,91,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0PG,Yes,51.982442,-1.286198,449120,231794,SP491317,Deddington,Deddington,1994-12-01,,90,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0PJ,Yes,51.981729,-1.389749,442009,231650,SP420316,Deddington,Barford St. John and St. Michael,1991-01-01,,129,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PL,Yes,51.989190,-1.387696,442143,232481,SP421324,Deddington,Barford St. John and St. Michael,1991-01-01,,126,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PN,Yes,51.992896,-1.384382,442367,232895,SP423328,Deddington,Barford St. John and St. Michael,1991-01-01,,126,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PP,Yes,51.996112,-1.363788,443778,233265,SP437332,Deddington,Barford St. John and St. Michael,1991-01-01,,106,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PQ,Yes,51.976092,-1.369136,443430,231035,SP434310,Deddington,Deddington,1991-01-01,,103,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PR,Yes,51.995852,-1.362291,443881,233237,SP438332,Deddington,Barford St. John and St. Michael,1991-01-01,,106,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PS,Yes,51.994559,-1.360736,443989,233094,SP439330,Deddington,Barford St. John and St. Michael,1991-01-01,,99,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PT,Yes,51.981687,-1.287591,449025,231709,SP490317,Deddington,Deddington,1991-01-01,,91,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0PU,Yes,51.983169,-1.290395,448831,231872,SP488318,Deddington,Deddington,1991-01-01,,95,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0PW,Yes,51.994770,-1.364914,443702,233115,SP437331,Deddington,Barford St. John and St. Michael,1991-01-01,,101,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PX,No,51.982524,-1.290856,448800,231800,SP488317,Deddington,Deddington,1994-05-01,1995-07-01,99,England,2024-12-20,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0PY,No,51.991964,-1.346647,444959,232814,SP449328,Deddington,Barford St. John and St. Michael,1993-01-01,1999-06-01,99,England,2024-12-20,Approximate to within 50 metres,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0PZ,Yes,51.982876,-1.291084,448784,231839,SP487318,Deddington,Deddington,1991-01-01,,98,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0QA,Yes,51.982256,-1.291035,448788,231770,SP487317,Deddington,Deddington,1991-01-01,,101,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0QB,Yes,51.973216,-1.344530,445123,230730,SP451307,Deddington,Deddington,1991-01-01,,128,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QD,Yes,51.983935,-1.329130,446170,231932,SP461319,Deddington,Deddington,1991-01-01,,137,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0QF,Yes,51.990100,-1.365823,443644,232595,SP436325,Deddington,Barford St. John and St. Michael,2011-09-01,,109,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QG,Yes,51.982307,-1.324320,446502,231754,SP465317,Deddington,Deddington,1991-01-01,,133,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QH,Yes,51.982540,-1.328640,446205,231777,SP462317,Deddington,Deddington,1991-01-01,,137,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0QJ,Yes,51.983585,-1.338716,445512,231887,SP455318,Deddington,Deddington,1991-01-01,,141,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QL,Yes,51.983379,-1.348519,444839,231858,SP448318,Deddington,Deddington,1991-01-01,,147,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QN,Yes,51.981806,-1.327602,446277,231696,SP462316,Deddington,Deddington,1991-01-01,,135,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0QP,Yes,51.983591,-1.330213,446096,231893,SP460318,Deddington,Deddington,1991-01-01,,138,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0QQ,Yes,51.982516,-1.326077,446381,231776,SP463317,Deddington,Deddington,1991-01-01,,134,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QR,Yes,51.984016,-1.349951,444740,231928,SP447319,Deddington,Deddington,1991-01-01,,145,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QS,Yes,51.983283,-1.352423,444571,231845,SP445318,Deddington,Deddington,1991-01-01,,147,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QT,Yes,51.982899,-1.352792,444546,231802,SP445318,Deddington,Deddington,1991-01-01,,148,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QU,Yes,51.982712,-1.353115,444524,231781,SP445317,Deddington,Deddington,1992-01-01,,148,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QW,Yes,51.983109,-1.329332,446157,231840,SP461318,Deddington,Deddington,1991-01-01,,138,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028481,Cherwell 010A,E01028481,Cherwell 010A
OX15 0QX,Yes,51.982709,-1.354178,444451,231780,SP444317,Deddington,Deddington,1991-01-01,,148,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QY,Yes,51.983336,-1.355494,444360,231849,SP443318,Deddington,Deddington,1991-01-01,,144,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0QZ,Yes,51.982328,-1.355363,444370,231737,SP443317,Deddington,Deddington,1991-01-01,,149,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RA,Yes,51.982602,-1.356116,444318,231767,SP443317,Deddington,Deddington,1991-01-01,,148,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RB,Yes,51.982580,-1.356785,444272,231764,SP442317,Deddington,Deddington,1991-01-01,,148,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RD,Yes,51.988713,-1.367096,443558,232440,SP435324,Deddington,Barford St. John and St. Michael,1991-01-01,,113,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RE,Yes,51.988426,-1.367319,443543,232408,SP435324,Deddington,Barford St. John and St. Michael,1991-01-01,,113,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RF,Yes,51.989740,-1.365815,443645,232555,SP436325,Deddington,Barford St. John and St. Michael,1991-01-01,,110,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RG,Yes,51.990738,-1.364111,443761,232667,SP437326,Deddington,Barford St. John and St. Michael,1991-01-01,,103,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RH,Yes,51.991353,-1.368181,443481,232733,SP434327,Deddington,Barford St. John and St. Michael,1991-01-01,,103,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RJ,Yes,51.991321,-1.372317,443197,232727,SP431327,Deddington,Barford St. John and St. Michael,1991-01-01,,102,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RL,No,51.990495,-1.374178,443070,232634,SP430326,Deddington,Barford St. John and St. Michael,1991-01-01,2005-10-01,104,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RN,Yes,51.989919,-1.368884,443434,232573,SP434325,Deddington,Barford St. John and St. Michael,1991-01-01,,112,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RP,Yes,51.989497,-1.367244,443547,232527,SP435325,Deddington,Barford St. John and St. Michael,1991-01-01,,113,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RQ,Yes,51.989888,-1.363279,443819,232573,SP438325,Deddington,Barford St. John and St. Michael,1991-01-01,,107,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RR,Yes,51.990744,-1.365291,443680,232667,SP436326,Deddington,Barford St. John and St. Michael,1991-01-01,,103,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RS,Yes,51.989124,-1.368094,443489,232485,SP434324,Deddington,Barford St. John and St. Michael,1991-01-01,,113,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RT,Yes,51.983872,-1.327558,446278,231926,SP462319,Deddington,Deddington,1991-01-01,,137,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RU,Yes,51.990761,-1.368436,443464,232667,SP434326,Deddington,Barford St. John and St. Michael,1991-01-01,,108,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
OX15 0RW,Yes,51.989084,-1.369085,443421,232480,SP434324,Deddington,Barford St. John and St. Michael,1991-01-01,,113,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028482,Cherwell 010B,E01028482,Cherwell 010B
